"AQeCode","Y","Year","Projection","Lon","Lat","Alt","AQeType","AQeArea","HighDens","LowDens","Ind","Transp","Seap","Airp","Constr","UrbGreen","Agri","Forest","AGS","PopDens","PriRoad","SecRoad","FedAuto","LocRoute","indRegions"
"DEBB007",13.590032,2015,"EPSG:4979",13.526796,51.462734,89,"background","suburban",0,0.533546325878594,0.198083067092652,0,0,0,0,0,0.201277955271566,0.0191693290734824,"12062124",201.414693602387,3862.74525579062,0,0,0,"12"
"DEBB021",20.56870702,2015,"EPSG:4979",13.059945,52.401352,31,"background","urban",0,0.722397476340694,0.154574132492114,0,0,0,0,0.0977917981072555,0,0,"12054000",894.789577616522,3629.79179227703,0,0,0,"12"
"DEBB029",10.69360552,2015,"EPSG:4979",14.285139,53.064262,5,"industrial","suburban",0,0.818471337579618,0.0636942675159236,0,0,0,0,0.0222929936305732,0.0955414012738854,0,"12073532",146.914770555268,2096.8349797509,0,0,0,"12"
"DEBB032",11.8317074,2015,"EPSG:4979",14.638166,52.146264,40,"industrial","suburban",0,0.446945337620579,0.446945337620579,0,0,0,0.00321543408360129,0.0964630225080386,0,0,"12067120",476.642806065229,2255.6598287563,0,0,963.73052886463,"12"
"DEBB044",35.30914762,2015,"EPSG:4979",14.327998,51.756476,70,"traffic","urban",0.21474358974359,0.576923076923077,0.0352564102564103,0.157051282051282,0,0,0,0.016025641025641,0,0,"12052000",601.897125864995,0,1914.029122449,0,1154.40336522951,"12"
"DEBB045",37.08061557,2015,"EPSG:4979",14.538595,52.337336,56,"traffic","urban",0,0.806962025316456,0.126582278481013,0,0,0,0,0.0664556962025316,0,0,"12053000",391.715600856756,2129.66012825816,0,0,0,"12"
"DEBB048",14.54775493,2015,"EPSG:4979",12.809481,52.93189,43,"background","suburban",0,0.729903536977492,0.045016077170418,0,0,0,0,0.0192926045016077,0.122186495176849,0,"12068320",100.234109377458,1998.21692299289,763.431781770686,0,0,"12"
"DEBB049",25.88797601,2015,"EPSG:4979",12.548376,52.409309,33,"traffic","urban",0.0157728706624606,0.580441640378549,0.195583596214511,0,0,0,0,0.20820189274448,0,0,"12051000",311.699241731371,1444.69166620711,0,0,149.655669523534,"12"
"DEBB053",9.81916847,2015,"EPSG:4979",14.015252,52.563835,88,"background","rural-regional",0,0,0,0,0,0,0,0,1,0,"12064084",104.493496669127,0,0,0,0,"12"
"DEBB054",44.60748886,2015,"EPSG:4979",13.037474,52.393932,31,"traffic","urban",0,0.610223642172524,0.0287539936102236,0,0,0,0,0.220447284345048,0,0,"12054000",894.789577616522,2714.07516476092,0,0,0,"12"
"DEBB055",12.07318056,2015,"EPSG:4979",12.552303,52.420442,33,"background","suburban",0,0.604430379746835,0.164556962025316,0,0,0,0,0.193037974683544,0,0,"12051000",311.699241731371,0,0,0,0,"12"
"DEBB060",27.39635321,2015,"EPSG:4979",13.822211,52.832467,20,"traffic","urban",0,0.685714285714286,0.0571428571428571,0,0,0,0,0.101587301587302,0,0.155555555555556,"12060052",417.634099756161,2692.68953233129,764.523676784754,0,0,"12"
"DEBB063",9.09939127,2015,"EPSG:4979",11.73846,52.99875,22,"background","suburban",0,0.615873015873016,0,0,0,0,0,0.184126984126984,0.0984126984126984,0.0888888888888889,"12070424",340.106399113755,0,0,0,1646.0336322928,"12"
"DEBB064",15.28311321,2015,"EPSG:4979",14.33455,51.746344,75,"background","urban",0,0.637820512820513,0.105769230769231,0.0576923076923077,0,0,0,0.163461538461538,0,0.0352564102564103,"12052000",601.897125864995,2669.44654162433,0,0,870.91292634568,"12"
"DEBB065",6.66981504,2015,"EPSG:4979",12.561389,52.194225,111,"background","rural-regional",0,0,0,0,0,0,0,0,0.019047619047619,0.980952380952381,"12069020",47.0259494517789,0,0,0,0,"12"
"DEBB066",8.14332719,2015,"EPSG:4979",14.057064,51.897598,52,"background","rural-regional",0,0,0,0,0,0,0,0,0.550632911392405,0.449367088607595,"12061005",15.0934692787992,0,0,0,0,"12"
"DEBB067",12.40057466,2015,"EPSG:4979",12.885194,52.608609,31,"background","suburban",0,0.531645569620253,0.319620253164557,0,0,0,0,0,0.14873417721519,0,"12063208",62.9492413274825,2237.79350754793,0,0,0,"12"
"DEBB068",28.23040123,2015,"EPSG:4979",13.582269,52.677651,71,"traffic","urban",0,0.784126984126984,0.0952380952380952,0,0,0,0,0.0793650793650794,0.0222222222222222,0.019047619047619,"12060020",354.656623257369,0,3875.94485228259,0,0,"12"
"DEBB073",41.75364259,2015,"EPSG:4979",13.094618,52.388869,32,"traffic","urban",0,0.576923076923077,0.163461538461538,0,0,0,0,0.259615384615385,0,0,"12054000",894.789577616522,1764.60305150674,440.178557186521,0,726.172285405025,"12"
"DEBB075",14.89281003,2015,"EPSG:4979",13.123698,52.484168,39,"background","suburban",0,0.0511182108626198,0,0,0,0,0,0.0670926517571885,0.166134185303514,0.642172523961661,"12054000",894.789577616522,1924.31525536978,0,0,0,"12"
"DEBB083",11.48693168,2015,"EPSG:4979",14.3764,51.5645,99,"background","suburban",0,0.799363057324841,0.0127388535031847,0,0,0,0,0.0127388535031847,0.124203821656051,0.0509554140127389,"12071372",122.260940408984,2380.29048991238,367.98750574368,0,0,"12"
"DEBB086",16.01999314,2015,"EPSG:4979",13.424304,52.349703,43,"background","suburban",0,0.663492063492063,0,0,0,0,0,0.158730158730159,0.142857142857143,0.0349206349206349,"12072017",476.405804349774,1132.19593649871,0,0,0,"12"
"DEBB087",24.95955443,2015,"EPSG:4979",14.325549,51.75413,75,"traffic","urban",0.140127388535032,0.617834394904459,0.00955414012738853,0.229299363057325,0,0,0,0.00318471337579618,0,0,"12052000",601.897125864995,411.7828406136,1378.16065725719,0,1171.15986269785,"12"
"DEBB092",13.63381193,2015,"EPSG:4979",14.52596,52.33468,74,"background","suburban",0,0.623417721518987,0.0949367088607595,0,0,0,0,0.281645569620253,0,0,"12053000",391.715600856756,1222.63307170957,0,0,0,"12"
"DEBB099",34.81984927,2015,"EPSG:4979",13.84825,52.481882,53,"traffic","suburban",0,0.360759493670886,0.10126582278481,0,0,0,0,0,0.167721518987342,0.370253164556962,"12064428",217.982631174018,3629.12528285918,1182.3363955776,0,0,"12"
