"","vbgem15","layer","lon.GK3","lat.GK3","lon.WGS84","lat.WGS84","AGS","RS","GEN","NUTS","digit6","gem15","gem15rs","name15","vbgnam15","raumt2010besiedlung","raumt2010lage","fl15_sum","z_bev15","popDens15","Road14","Road15","Road16","Road984"
"174474",8437904,514384,4264350,2760050,9.24198605412121,47.9514265589036,"08437088","084375004088","Pfullendorf","DE149","5",8437088,84375004088,"Pfullendorf, Stadt","VVG der Stadt Pfullendorf","suburban","peripher",195.87,21120,107.826619696738,0,1587.91606779937,0,0
"174542",8437904,514385,4265350,2760050,9.25536589617966,47.9515180181651,"08437088","084375004088","Pfullendorf","DE149","5",8437088,84375004088,"Pfullendorf, Stadt","VVG der Stadt Pfullendorf","suburban","peripher",195.87,21120,107.826619696738,0,0,0,0
"174557",8437904,514386,4266350,2760050,9.26874578151738,47.9516078487445,"08437088","084375004088","Pfullendorf","DE149","5",8437088,84375004088,"Pfullendorf, Stadt","VVG der Stadt Pfullendorf","suburban","peripher",195.87,21120,107.826619696738,0,0,0,0
"174582",8437904,514387,4267350,2760050,9.28212570935703,47.9516960506335,"08437088","084375004088","Pfullendorf","DE149","5",8437088,84375004088,"Pfullendorf, Stadt","VVG der Stadt Pfullendorf","suburban","peripher",195.87,21120,107.826619696738,0,0,0,0
"173914",8437086,514388,4268350,2760050,9.29550567892124,47.9517826238237,"08437086","084370086086","Ostrach","DE149","0",8437086,84370086086,"Ostrach","Ostrach","rural","peripher",108.91,6751,61.9869617115049,0,0,0,0
"173912",8437086,514389,4269350,2760050,9.30888568943264,47.9518675683071,"08437086","084370086086","Ostrach","DE149","0",8437086,84370086086,"Ostrach","Ostrach","rural","peripher",108.91,6751,61.9869617115049,0,0,0,0
"173897",8437086,514390,4270350,2760050,9.32226574011383,47.9519508840758,"08437086","084370086086","Ostrach","DE149","0",8437086,84370086086,"Ostrach","Ostrach","rural","peripher",108.91,6751,61.9869617115049,0,0,0,0
"173898",8437086,514391,4271350,2760050,9.33564583018739,47.9520325711219,"08437086","084370086086","Ostrach","DE149","0",8437086,84370086086,"Ostrach","Ostrach","rural","peripher",108.91,6751,61.9869617115049,0,0,0,0
"173872",8437086,514392,4272350,2760050,9.34902595887588,47.9521126294377,"08437086","084370086086","Ostrach","DE149","0",8437086,84370086086,"Ostrach","Ostrach","rural","peripher",108.91,6751,61.9869617115049,0,0,0,0
"173879",8437086,514393,4273350,2760050,9.36240612540185,47.9521910590158,"08437086","084370086086","Ostrach","DE149","0",8437086,84370086086,"Ostrach","Ostrach","rural","peripher",108.91,6751,61.9869617115049,0,0,0,0
"173878",8437086,514394,4274350,2760050,9.37578632898783,47.9522678598488,"08437086","084370086086","Ostrach","DE149","0",8437086,84370086086,"Ostrach","Ostrach","rural","peripher",108.91,6751,61.9869617115049,0,2039.94338117534,0,0
"173940",8437086,514395,4275350,2760050,9.38916656885632,47.9523430319296,"08437086","084370086086","Ostrach","DE149","0",8437086,84370086086,"Ostrach","Ostrach","rural","peripher",108.91,6751,61.9869617115049,0,1867.36271911173,0,0
"173928",8437086,514396,4276350,2760050,9.40254684422983,47.952416575251,"08437086","084370086086","Ostrach","DE149","0",8437086,84370086086,"Ostrach","Ostrach","rural","peripher",108.91,6751,61.9869617115049,0,0,0,0
"173951",8437086,514397,4277350,2760050,9.41592715433083,47.9524884898062,"08437086","084370086086","Ostrach","DE149","0",8437086,84370086086,"Ostrach","Ostrach","rural","peripher",108.91,6751,61.9869617115049,0,0,0,0
"173946",8437086,514398,4278350,2760050,9.42930749838178,47.9525587755885,"08437086","084370086086","Ostrach","DE149","0",8437086,84370086086,"Ostrach","Ostrach","rural","peripher",108.91,6751,61.9869617115049,0,0,0,0
"172768",8436901,514399,4279350,2760050,9.44268787560513,47.9526274325913,"08436047","084365001047","Hoßkirch","DE148","5",8436047,84365001047,"Hoßkirch","GVV Altshausen","rural","peripher",130.51,11289,86.4991188414681,0,0,0,0
"172813",8436901,514400,4280350,2760050,9.45606828522331,47.9526944608081,"08436047","084365001047","Hoßkirch","DE148","5",8436047,84365001047,"Hoßkirch","GVV Altshausen","rural","peripher",130.51,11289,86.4991188414681,0,0,0,0
"172811",8436901,514401,4281350,2760050,9.46944872645873,47.9527598602327,"08436047","084365001047","Hoßkirch","DE148","5",8436047,84365001047,"Hoßkirch","GVV Altshausen","rural","peripher",130.51,11289,86.4991188414681,0,0,0,0
"172810",8436901,514402,4282350,2760050,9.48282919853379,47.9528236308588,"08436047","084365001047","Hoßkirch","DE148","5",8436047,84365001047,"Hoßkirch","GVV Altshausen","rural","peripher",130.51,11289,86.4991188414681,0,0,0,1681.93747963154
