"","AQeCode","AQeYMean","Year","Projection","AQeLon","AQeLat","AQeAlt","AQeType","AQeArea","AQeInletHeight","HighDens","LowDens","Ind","Transp","Seap","Airp","Constr","UrbGreen","Agri","Forest","AGS","GEN","NUTS","BBSRArea","BBSRArea2","BBSRpopDens","PriRoad","SecRoad","NatMot","LocRoute"
"1","DESH022",33.30421051,2015,"EPSG:4979",9.43809,54.78143,15,"traffic","urban",3.5,0.105431309904153,0.814696485623003,0,0.0447284345047923,0,0,0,0.0223642172523962,0,0,"01001000","Flensburg","DEF01","urban","zentral",1514.66337680649,0,2122.48064032996,0,0
"2","DESH027",41.24365129,2015,"EPSG:4979",10.135158,54.304676,8,"traffic","urban",3.5,0.0569620253164557,0.534810126582278,0.294303797468354,0.00316455696202532,0,0,0,0.0917721518987342,0,0.00632911392405063,"01002000","Kiel","DEF02","urban","zentral",2075.90391908976,3381.48493630689,2382.80779913127,0,0
"3","DESH052",65.0370153,2015,"EPSG:4979",10.122364,54.304242,18,"traffic","urban",1.5,0.053968253968254,0.777777777777778,0.111111111111111,0,0,0,0,0.0126984126984127,0,0.0444444444444444,"01002000","Kiel","DEF02","urban","zentral",2075.90391908976,2854.63301748402,1174.17079366938,0,0
"4","DESH053",29.50833283,2015,"EPSG:4979",10.67332,53.862237,6,"traffic","urban",3.5,0.117088607594937,0.626582278481013,0.0221518987341772,0.0791139240506329,0,0,0,0.15506329113924,0,0,"01003000","Lübeck","DEF03","urban","sehr zentral",1009.53736987069,2014.03903783345,0,0,0
"5","DESH055",35.2482844,2015,"EPSG:4979",10.664881,53.87453,13,"traffic","urban",2,0.107255520504732,0.586750788643533,0.135646687697161,0.0315457413249211,0,0,0,0.138801261829653,0,0,"01003000","Lübeck","DEF03","urban","sehr zentral",1009.53736987069,0,0,1509.75143381389,434.708648469206
"6","DESH035",22.95946538,2015,"EPSG:4979",9.156908,53.896117,0,"industrial","suburban",3.5,0,0.373417721518987,0.0727848101265823,0,0,0,0,0,0.268987341772152,0,"01051011","Brunsbüttel","DEF05","suburban","sehr peripher",195.278969957082,0,0,0,1953.63281369963
"7","DESH028",30.91536694,2015,"EPSG:4979",10.775796,53.698939,10,"traffic","urban",3.5,0.0897435897435897,0.259615384615385,0,0,0,0,0,0,0.00641025641025641,0.0416666666666667,"01053100","Ratzeburg","DEF06","urban","peripher",469.792010564543,2075.64785536256,0,0,0
"8","DESH030",42.70330354,2015,"EPSG:4979",9.997256,53.681993,26,"traffic","urban",3.5,0,0.80952380952381,0.0984126984126984,0,0,0,0,0.0507936507936508,0.0412698412698413,0,"01060063","Norderstedt","DEF0D","urban","sehr zentral",1320.34423407917,2012.82286244438,0,0,0
"9","DESH025",36.42189095,2015,"EPSG:4979",9.511769,53.928028,11,"traffic","urban",3.5,0,0.794212218649518,0.180064308681672,0,0,0,0,0,0.0257234726688103,0,"01061046","Itzehoe","DEF0E","urban","zentral",1133.46414555833,3187.35099798186,0,0,0
"10","DEHH015",33.76372252,2015,"EPSG:4979",10.021227,53.523262,4,"industrial","urban",3.5,0,0.200636942675159,0.127388535031847,0.130573248407643,0.292993630573248,0,0,0.0445859872611465,0,0,"02000000","Hamburg","DE600","urban","sehr zentral",2366.4874884152,446.626750449404,0,2732.19196488641,0
"11","DEHH016",25.10973986,2015,"EPSG:4979",10.081685,53.52902,5,"industrial","urban",3.5,0,0,0.906752411575563,0.00643086816720257,0,0,0,0.0739549839228296,0,0,"02000000","Hamburg","DE600","urban","sehr zentral",2366.4874884152,0,0,0,0
"12","DEHH026",49.3765394,2015,"EPSG:4979",9.957236,53.560632,20,"traffic","urban",1.5,0,0.846153846153846,0.118589743589744,0,0,0,0,0.0352564102564103,0,0,"02000000","Hamburg","DE600","urban","sehr zentral",2366.4874884152,2244.39642103167,0,0,0
"13","DEHH064",48.17425555,2015,"EPSG:4979",9.94458,53.564399,16,"traffic","urban",1.5,0,0.680379746835443,0.189873417721519,0.126582278481013,0,0,0,0.00316455696202532,0,0,"02000000","Hamburg","DE600","urban","sehr zentral",2366.4874884152,3567.56252039355,0,0,0
"14","DEHH068",62.88000356,2015,"EPSG:4979",10.053859,53.592301,12,"traffic","urban",1.5,0,0.907936507936508,0,0,0,0,0,0.0920634920634921,0,0,"02000000","Hamburg","DE600","urban","sehr zentral",2366.4874884152,0,0,0,0
"15","DEHH070",61.88637332,2015,"EPSG:4979",9.943012,53.555668,25,"traffic","urban",1.5,0,0.810725552050473,0.0441640378548896,0.145110410094637,0,0,0,0,0,0,"02000000","Hamburg","DE600","urban","sehr zentral",2366.4874884152,1186.96053418651,0,0,0
"16","DEHH072",17.9989994,2015,"EPSG:4979",9.84408,53.535958,0,"industrial","urban",3.5,0,0.288461538461538,0,0,0,0.576923076923077,0,0,0.0897435897435897,0,"02000000","Hamburg","DE600","urban","sehr zentral",2366.4874884152,0,0,0,1917.93168647359
"17","DEHH073",16.57863538,2015,"EPSG:4979",9.832702,53.532075,5,"industrial","rural-nearcity",1.5,0,0.0854430379746835,0,0,0,0.598101265822785,0,0,0.208860759493671,0,"02000000","Hamburg","DE600","urban","sehr zentral",2366.4874884152,0,0,0,0
"18","DENI075",39.63145391,2015,"EPSG:4979",10.54055,52.26673,81,"traffic","urban",1.45,0.019047619047619,0.828571428571429,0.0285714285714286,0,0,0,0,0.123809523809524,0,0,"03101000","Braunschweig","DE911","urban","sehr zentral",1308.02934901389,0,0,0,0
"19","DENI070",16.39344765,2015,"EPSG:4979",10.45591,52.15369,93,"industrial","rural",3.8,0,0.0791139240506329,0,0,0,0,0,0,0.920886075949367,0,"03102000","Salzgitter","DE912","urban","zentral",451.406752411576,1992.09255714662,0,0,0
"20","DENI157",37.4981864,2015,"EPSG:4979",10.793683,52.427886,61,"traffic","suburban",1.7,0,0.420886075949367,0.300632911392405,0.0569620253164557,0,0,0,0.221518987341772,0,0,"03103000","Wolfsburg","DE913","urban","zentral",607.825362602901,0,1834.94102986456,0,1350.62793535359
