"","ID","Type","Lon.WGS84","Lat.WGS84","DistPri","DistSec","DistMot","DistLoc"
"1","DESH033","background",10.116563,54.309674,255.38,958.05,1167.22,2536.35
"2","DESH023","background",10.695936,53.835492,414.6,5863.07,2770.89,5486.14
"3","DEUB001","background",8.308208,54.924967,38195.54,27616.89,66777.15,36382.08
"4","DESH008","background",10.240596,54.09323,2216.03,2321.41,1788.54,7442.77
"5","DEHH008","background",9.967882,53.56414,708.72,12461.27,3941.91,910.37
"6","DEHH021","background",10.083646,53.487669,5448.6,7654.71,1280.99,3499.74
"7","DEHH033","background",9.998009,53.638291,105.01,10008.94,4564.43,630.35
"8","DEHH047","background",10.110595,53.63074,3505.92,5520.59,7171.17,2259.89
"9","DEHH049","background",9.786234,53.568124,1302.56,5309.96,7492.14,3992.49
"10","DEHH050","background",9.857223,53.480927,965.06,4747.92,3808.66,3758.99
"11","DEHH059","background",9.990569,53.50793,578.48,11420.64,1175.7,4554.86
"12","DEHH074","background",10.102823,53.538531,56.43,3326.68,2365.87,3211.11
"13","DEHH079","background",9.944815,53.545269,1650.7,11408.8,1370.39,3360.92
"14","DENI011","background",10.47364,52.22694,2201.47,1366.44,1801.81,7191.75
"15","DENI020","background",10.81638,52.44081,90.44,1216.99,5417.76,1907.87
"16","DENI028","background",10.23854,51.50758,1025.48,1292.32,11633.21,1530.18
"17","DENI042","background",9.94976,51.55107,434.53,2530.34,3947.25,7099.24
"18","DENI051","background",10.61248,51.75816,2558.57,6368.66,20012.05,7813.77
"19","DENI016","background",10.48132,51.90158,26.54,5861.26,7993.42,4348.35
"20","DENI077","background",9.55462,51.70884,636.67,4368.54,25591.1,6931.88
"21","DENI054","background",9.70612,52.36292,168.8,2857.47,7320.28,3056.38
"22","DENI041","background",9.06255,52.17017,230.78,1477.42,5397.94,2221.06
"23","DENI059","background",8.80122,53.83017,2510.23,7158.53,4674.15,4955.37
"24","DENI060","background",11.16705,52.95702,126.49,4056.02,41199.24,6839.86
"25","DENI062","background",10.4565,53.24696,305.96,1127.02,5099.4,813.92
"26","DENI052","background",9.62295,52.82943,3918.58,2028.85,1058.05,11202.57
"27","DENI063","background",9.68503,53.52418,5785.48,804.11,2902.57,2558.03
"28","DEUB005","background",10.756733,52.800773,8125.29,2390.73,37308.38,5660.09
"29","DENI029","background",7.20726,53.36235,1038.86,1000.43,2264.33,709.06
"30","DENI038","background",8.05286,52.25534,419.68,3443.17,1228.26,1975.66
"31","DENI031","background",8.09059,53.59617,7546.72,2301.91,2801.85,80.37
"32","DENI058","background",7.21398,53.7153,10794.3,7477.85,36420.55,13168.11
"33","DENI043","background",7.31747,52.49855,754.41,1638.58,6862.65,1837.6
"34","DEHB001","background",8.81578,53.077151,1495.52,6970.19,2807.01,468.84
"35","DEHB002","background",8.916966,53.060045,5154.87,5495.43,2121.41,2630.82
"36","DEHB004","background",8.625456,53.180946,4290.73,1731.36,87.66,5540.62
"37","DEHB012","background",8.735047,53.124561,4861.99,6340.44,1580.9,4281.69
"38","DEHB005","background",8.569405,53.562455,1592.59,4009.1,3337.12,1100.95
"39","DENW071","background",6.732383,51.249211,1041.64,2762.92,2249.99,3973.31
"40","DENW024","background",6.981045,51.496527,1026.29,6659.91,791.71,10519.74
"41","DENW247","background",6.965643,51.406968,1702.09,1063.29,110.82,13162.13
"42","DENW038","background",6.865107,51.45346,390.51,1875.4,244.13,18012.77
"43","DENW080","background",7.052634,51.183773,1819.75,6055.31,2766.34,8007.4
"44","DENW114","background",7.231895,51.277647,164.35,3825.77,1702.95,4873.73
"45","DENW078","background",6.819967,51.303919,3173.96,470.7,634.61,4544.21
"46","DENW066","background",6.195868,51.326943,891.06,12038.83,621.66,11280.5
"47","DENW030","background",6.629576,51.672809,575.51,2506.43,3631.43,12053.46
"48","DENW062","background",7.082676,50.75364,1810.19,2131.21,274.22,1842.9
"49","DENW059","background",6.985164,50.889814,827.83,1330.61,338.91,7773.14
"50","DENW053","background",6.884636,51.019345,1967.91,4072.4,1165.22,7344.52
"51","DENW079","background",7.005063,51.028879,1085.49,4806,354.77,5239.31
"52","DENW094","background",6.093923,50.754704,575.58,4242.97,2887.29,10296.09
"53","DENW064","background",6.281069,50.653236,322.72,1515.25,13246.82,1658.12
"54","DENW022","background",7.101786,51.533646,574.62,5825.35,228.55,5594.56
"55","DENW095","background",7.611581,51.936547,149.98,2405.85,3897.49,6087.17
"56","DENW081","background",6.874554,51.862,1511.05,141.17,9125.69,5578.34
"57","DENW002","background",7.331405,51.641383,189.45,2262.83,4243.95,1555.43
"58","DENW067","background",8.548389,52.023169,876.62,1192.01,5562.76,4389.82
"59","DENW008","background",7.457463,51.536911,93.85,6373.6,4263.56,6373.6
"60","DENW029","background",7.208572,51.403005,6627.07,255.19,3680.14,3610.45
"61","DEHE046","background",8.928171,51.430897,6087.39,4625.61,8454.74,11932.17
"62","DENW065","background",8.191932,50.930328,3955.97,377.95,14432.21,4541.77
"63","DENW068","background",8.148061,51.570662,656.58,3084.27,2121.02,2680.35
"64","DENW006","background",7.569838,51.592206,3583.84,4311.69,492.68,7700.36
"65","DENW179","background",7.582295,51.448762,871.54,1294.89,1424.71,7398.8
"66","DENW010","background",7.693835,51.547495,1753.61,807.42,2111.81,4648.89
"67","DEHE001","background",8.664619,49.872303,132.85,491.9,3150.07,7173.36
"68","DEHE005","background",8.542517,50.10175,1346.64,1741.26,1618.81,3044.97
"69","DEHE008","background",8.746343,50.125332,37.9,493.65,1153.79,1599.44
"70","DEHE022","background",8.244949,50.050343,904.16,3765.86,213.25,4057.09
"71","DEHE028","background",8.817251,49.653465,1358.97,3177.63,14466.22,6624.07
"72","DEHE018","background",8.451527,50.010325,470.77,5920.76,2177.07,5972.73
"73","DEHE043","background",8.516798,49.825165,2582.13,6085.61,4615.69,1774.45
"74","DEHE052","background",8.446079,50.221941,1936.34,718.63,9128.88,9266.77
"75","DEHE011","background",8.92157,50.13577,685.47,504.92,2113.37,4304.38
"76","DEHE026","background",9.399441,50.16443,1872.57,393.27,10351.85,3243.79
"77","DEHE045","background",9.001981,49.672507,158.98,5740.38,27871.56,9601.3
"78","DEHE042","background",8.684397,50.532965,3214.99,350.7,2231.96,6628.51
"79","DEHE044","background",8.060998,50.383217,210.13,3820.25,1439.45,12717.54
"80","DEHE030","background",8.769324,50.804258,428.04,752.42,18990.28,5495.27
"81","DEHE039","background",9.459402,50.770381,762.9,2729.09,2218.24,9812.21
"82","DEHE013","background",9.483397,51.314248,794.3,5347.69,2935.65,5321.36
"83","DEHE058","background",9.682162,50.549297,40.87,1510.32,3454.43,1239.1
"84","DEHE051","background",9.935862,50.497711,1579.84,814.66,13991.73,9483.98
"85","DEHE032","background",9.80026,50.970024,1157.88,1182.9,8848.72,7.37
"86","DEHE050","background",9.271233,51.360755,4489.11,3344.23,583.6,3344.23
"87","DEHE060","background",9.031754,51.154843,4844.85,2164.35,17150.76,9636.4
"88","DEHE024","background",9.774588,51.291757,3704.2,2409.15,7880.74,7590.44
