"","ID","Type","Lon.WGS84","Lat.WGS84","DistPri","DistSec","DistMot","DistLoc"
"1","DESH022","traffic",9.43809,54.78143,1572.07,31.37,5296.75,8644.81
"2","DESH027","traffic",10.135158,54.304676,155.21,94.35,2490.4,2675.53
"3","DESH052","traffic",10.122364,54.304242,15.11,679.52,1842.97,2904.25
"4","DESH053","traffic",10.67332,53.862237,30.39,2535.11,1945.41,2175.36
"5","DESH055","traffic",10.664881,53.87453,1502.49,1072.17,522.81,714.72
"6","DESH035","industrial",9.156908,53.896117,3128.54,3155.39,21573.25,15.04
"7","DESH028","traffic",10.775796,53.698939,19.24,2323.9,10376.78,4091.34
"8","DESH030","traffic",9.997256,53.681993,21.98,5321.91,3437.09,3070.9
"9","DESH025","traffic",9.511769,53.928028,47,8437.51,3068.3,6512.92
"10","DEHH015","industrial",10.021227,53.523262,557.15,8972.59,158.91,2936.35
"11","DEHH016","industrial",10.081685,53.52902,1562.79,4940.3,2372.17,3500.18
"12","DEHH026","traffic",9.957236,53.560632,27.74,12717,3197.41,1714.75
"13","DEHH064","traffic",9.94458,53.564399,20.29,12104.67,2624.37,2377.99
"14","DEHH068","traffic",10.053859,53.592301,2399.87,8540.15,3704.25,3489.93
"15","DEHH070","traffic",9.943012,53.555668,913.26,11640.11,2199.6,2805.53
"16","DEHH072","industrial",9.84408,53.535958,4061.91,4732.1,4017.86,191.12
"17","DEHH073","industrial",9.832702,53.532075,4592.88,3870.51,4885.58,1058.94
"18","DENI075","traffic",10.54055,52.26673,3331.49,3668.3,2662.34,4219.29
"19","DENI070","industrial",10.45591,52.15369,44.93,6545.69,2463.91,6530.9
"20","DENI157","traffic",10.793683,52.427886,1078.49,353.85,3799.54,27.35
"21","DENI068","traffic",9.92833,51.5302,43.69,732.41,3418.34,6221.12
"22","DENI071","traffic",10.42275,51.61365,1023.63,2797.88,21753.22,11476.93
"23","DENI048","traffic",9.7155,52.359478,7.81,2810.79,7605.65,2810.79
"24","DENI143","traffic",8.212084,53.142836,1442.49,0.97,1361.8,4724.95
"25","DENI067","traffic",8.04147,52.2703,39.15,2655.36,2384.16,3164.51
"26","DENI053","industrial",7.94257,52.99796,3423.33,992.23,16587.69,3854.45
"27","DEHB006","traffic",8.825173,53.078663,2009.88,6850.52,3361.36,481.78
"28","DEHB013","industrial",8.69506,53.1177,6751.13,6897.25,2195.13,6319.75
"29","DEHB011","traffic",8.59876,53.585262,3824.95,1006.29,1649.54,2.35
"30","DENW082","traffic",6.782565,51.21311,846.44,2766.58,2313.49,7107.15
"31","DENW034","industrial",6.748402,51.524022,1607.43,363.41,714.48,7674.83
"32","DENW112","traffic",6.771801,51.437708,6281.78,6766.7,214.13,13544.09
"33","DENW338","industrial",6.735431,51.485492,5952.06,3385.87,391.87,8429.39
"34","DENW043","traffic",7.030603,51.451177,1129.72,1899.83,140.15,7154.97
"35","DENW134","traffic",7.005278,51.477931,10.67,4082.12,3063.97,8562.09
"36","DENW116","industrial",6.670195,51.342561,1128.53,10540.63,3230.78,5731.59
"37","DENW100","traffic",6.458842,51.169967,1258.17,2620.93,3745.12,7091.09
"38","DENW354","traffic",6.45683,51.12031,339.87,7909.38,1497.98,8128.25
"39","DENW259","traffic",6.439975,51.169437,61.16,2319.78,2440.62,7650.06
"40","DENW188","traffic",6.863657,51.474971,23.75,489.27,2005.02,16907.77
"41","DENW189","traffic",7.147401,51.260681,580.5,2779,909.8,2668.06
"42","DENW337","industrial",6.469463,51.097638,1587.9,7894.68,509.15,6361.96
"43","DENW211","traffic",7.00459,50.962857,15.13,5127.69,2011.52,5127.69
"44","DENW212","traffic",6.957701,50.947367,331.8,1820.61,2549.94,1841.06
